Year;Gener_name;Productions
1989;Drama;2818
1989;Comedy;1778
1989;Documentary;1522
1989;Action;981
1989;Crime;522
1990;Drama;2688
1990;Comedy;1706
1990;Documentary;1659
1990;Action;1061
1990;Family;556
1991;Drama;2767
1991;Comedy;1756
1991;Documentary;1743
1991;Action;1017
1991;Animation;605
1992;Drama;2620
1992;Documentary;1828
1992;Comedy;1753
1992;Action;1055
1992;Animation;569
1993;Drama;2731
1993;Documentary;1816
1993;Comedy;1702
1993;Action;1081
1993;Crime;560
1994;Drama;2816
1994;Documentary;2050
1994;Comedy;1869
1994;Action;1091
1994;Family;587
1995;Drama;2835
1995;Documentary;2295
1995;Comedy;2004
1995;Action;1123
1995;Family;639
1996;Drama;3011
1996;Documentary;2496
1996;Comedy;2117
1996;Action;1096
1996;Animation;713
1997;Drama;3229
1997;Documentary;2710
1997;Comedy;2321
1997;Action;1097
1997;Animation;722
1998;Drama;3292
1998;Documentary;3141
1998;Comedy;2493
1998;Action;1117
1998;Romance;787
1999;Drama;3540
1999;Documentary;3498
1999;Comedy;2662
1999;Action;1198
1999;Animation;869
2000;Drama;3930
2000;Documentary;3928
2000;Comedy;2802
2000;Action;1273
2000;Animation;990
2001;Documentary;4615
2001;Drama;4286
2001;Comedy;3371
2001;Action;1372
2001;Romance;1028
2002;Documentary;5207
2002;Drama;4901
2002;Comedy;3651
2002;Action;1507
2002;Romance;1109
2003;Documentary;6235
2003;Drama;5658
2003;Comedy;4395
2003;Action;1627
2003;Music;1307
2004;Documentary;7359
2004;Drama;6458
2004;Comedy;4851
2004;Action;1638
2004;Music;1574
2005;Drama;7850
2005;Documentary;7847
2005;Comedy;5647
2005;Action;1793
2005;Music;1707
2006;Drama;9006
2006;Documentary;8390
2006;Comedy;6510
2006;Action;1873
2006;Music;1829
2007;Drama;9927
2007;Documentary;9072
2007;Comedy;7169
2007;Action;2009
2007;Animation;1909
2008;Drama;11236
2008;Documentary;9758
2008;Comedy;8254
2008;Action;2243
2008;Animation;2191
2009;Drama;15020
2009;Documentary;11099
2009;Comedy;10827
2009;Action;2828
2009;Horror;2575
2010;Drama;18684
2010;Comedy;13100
2010;Documentary;12343
2010;Action;3599
2010;Romance;3254
2011;Drama;20530
2011;Comedy;14985
2011;Documentary;13469
2011;Action;3939
2011;Horror;3781
2012;Drama;22701
2012;Comedy;16398
2012;Documentary;14687
2012;Action;4164
2012;Horror;4101
2013;Drama;24679
2013;Comedy;17785
2013;Documentary;15145
2013;Horror;4643
2013;Action;4504
2014;Drama;26790
2014;Comedy;18775
2014;Documentary;15936
2014;Horror;4969
2014;Romance;4691
2015;Drama;25782
2015;Comedy;18488
2015;Documentary;15994
2015;Horror;5152
2015;Action;4550
2016;Drama;26778
2016;Comedy;18864
2016;Documentary;16548
2016;Horror;5619
2016;Action;4980
2017;Drama;27668
2017;Comedy;18227
2017;Documentary;17188
2017;Horror;5975
2017;Action;4695
2018;Drama;27334
2018;Comedy;17450
2018;Documentary;16195
2018;Horror;5859
2018;Thriller;4597
2019;Drama;24462
2019;Comedy;15416
2019;Documentary;14700
2019;Horror;5464
2019;Music;4553
2020;Drama;19922
2020;Comedy;13620
2020;Documentary;13525
2020;Music;5743
2020;Horror;5194
2021;Drama;19390
2021;Documentary;12870
2021;Comedy;10935
2021;Music;5187
2021;Horror;4989
