title_Id;start_Year;title_Type;original_Title;average_Rating;num_Votes;Geners
tt0103359;1992;tvSeries;Batman: The Animated Series;9;98591;Action,Adventure,Animation
tt0108778;1994;tvSeries;Friends;9;942439;Comedy,Romance
tt0098904;1989;tvSeries;Seinfeld;8.9;298469;Comedy
tt0214341;1989;tvSeries;Dragon Ball Z;8.8;124565;Action,Adventure,Animation
tt0098936;1990;tvSeries;Twin Peaks;8.8;190921;Crime,Drama,Mystery
tt0096548;1989;tvSeries;Blackadder Goes Forth;8.8;51684;Comedy,War
tt0121220;1989;tvSeries;Dragon Ball Z: Doragon bôru zetto;8.8;76687;Action,Adventure,Animation
tt0121955;1997;tvSeries;South Park;8.8;357138;Animation,Comedy
tt0106179;1993;tvSeries;The X Files;8.7;215980;Crime,Drama,Mystery
tt0118421;1997;tvSeries;Oz;8.7;96466;Crime,Drama,Thriller
tt0096697;1989;tvSeries;The Simpsons;8.7;392322;Animation,Comedy
tt0280249;1995;tvSeries;Dragon Ball;8.6;58272;Action,Adventure,Animation
tt0096657;1990;tvSeries;Mr. Bean;8.6;113782;Comedy,Family
tt0112159;1995;tvSeries;Shin seiki evangerion;8.5;63524;Action,Animation,Drama
tt0118480;1997;tvSeries;Stargate SG-1;8.4;90641;Action,Adventure,Drama
tt0118276;1997;tvSeries;Buffy the Vampire Slayer;8.3;141945;Action,Drama,Fantasy
tt0106004;1993;tvSeries;Frasier;8.2;81343;Comedy
tt0106145;1993;tvSeries;Star Trek: Deep Space Nine;8.1;60440;Action,Adventure,Drama
tt0098800;1990;tvSeries;The Fresh Prince of Bel-Air;8;131003;Comedy
tt0112178;1995;tvSeries;Star Trek: Voyager;7.9;66543;Action,Adventure,Sci-Fi
tt0108757;1994;tvSeries;ER;7.9;58325;Drama,Romance
tt0115082;1996;tvSeries;3rd Rock from the Sun;7.8;51362;Comedy,Family,Sci-Fi
tt0118375;1997;tvSeries;King of the Hill;7.5;50678;Animation,Comedy,Drama
tt0115167;1996;tvSeries;Everybody Loves Raymond;7.3;69014;Comedy
tt0417299;2005;tvSeries;Avatar: The Last Airbender;9.3;293589;Action,Adventure,Animation
tt0306414;2002;tvSeries;The Wire;9.3;322314;Crime,Drama,Thriller
tt0141842;1999;tvSeries;The Sopranos;9.2;367750;Crime,Drama
tt0386676;2005;tvSeries;The Office;9;528629;Comedy
tt0303461;2002;tvSeries;Firefly;9;258588;Adventure,Drama,Sci-Fi
tt0200276;1999;tvSeries;The West Wing;8.9;72512;Drama
tt0213338;1998;tvSeries;Kaubôi bibappu;8.9;111194;Action,Adventure,Animation
tt0472954;2005;tvSeries;It's Always Sunny in Philadelphia;8.9;214339;Comedy
tt0388629;1999;tvSeries;One Piece: Wan pîsu;8.8;105874;Action,Adventure,Animation
tt0412142;2004;tvSeries;House M.D.;8.8;445623;Drama,Mystery
tt0193676;1999;tvSeries;Freaks and Geeks;8.8;138605;Comedy,Drama
tt0248654;2001;tvSeries;Six Feet Under;8.8;131222;Comedy,Drama
tt0264235;2000;tvSeries;Curb Your Enthusiasm;8.8;122552;Comedy
tt0353049;2003;tvSeries;Chappelle's Show;8.8;61622;Comedy,Music
tt0121955;1997;tvSeries;South Park;8.8;357138;Animation,Comedy
tt0118421;1997;tvSeries;Oz;8.7;96466;Crime,Drama,Thriller
tt0367279;2003;tvSeries;Arrested Development;8.7;295751;Comedy
tt0286486;2002;tvSeries;The Shield;8.7;78587;Crime,Drama,Thriller
tt0407362;2004;tvSeries;Battlestar Galactica;8.7;162100;Action,Adventure,Drama
tt0387764;2003;tvSeries;Peep Show;8.7;58243;Comedy
tt0384766;2005;tvSeries;Rome;8.7;166196;Action,Drama,History
tt1628033;2002;tvSeries;Top Gear;8.7;115284;Adventure,Comedy,Reality-TV
tt0460681;2005;tvSeries;Supernatural;8.6;425419;Drama,Fantasy,Horror
tt0421357;2003;tvSeries;Hagane no renkinjutsushi;8.6;68411;Action,Adventure,Animation
tt0436992;2005;tvSeries;Doctor Who;8.6;216762;Adventure,Drama,Sci-Fi
tt0903747;2008;tvSeries;Breaking Bad;9.5;1693469;Crime,Drama,Thriller
tt7657124;2008;tvSeries;The Heroes;9.4;163564;Animation,Drama,History
tt0417299;2005;tvSeries;Avatar: The Last Airbender;9.3;293589;Action,Adventure,Animation
tt1831164;2011;tvSeries;Leyla ile Mecnun;9.3;92880;Adventure,Comedy,Drama
tt0944947;2011;tvSeries;Game of Thrones;9.3;1967797;Action,Adventure,Drama
tt2861424;2013;tvSeries;Rick and Morty;9.2;467405;Adventure,Animation,Comedy
tt2560140;2013;tvSeries;Shingeki no Kyojin;9.1;334617;Action,Adventure,Animation
tt1355642;2009;tvSeries;Hagane no renkinjutsushi;9.1;153867;Action,Adventure,Animation
tt1475582;2010;tvSeries;Sherlock;9.1;884996;Crime,Drama,Mystery
tt2098220;2011;tvSeries;Hunter x Hunter;9;85420;Action,Adventure,Animation
tt0877057;2006;tvSeries;Death Note: Desu nôto;9;297188;Animation,Crime,Drama
tt0386676;2005;tvSeries;The Office;9;528629;Comedy
tt0472954;2005;tvSeries;It's Always Sunny in Philadelphia;8.9;214339;Comedy
tt1865718;2012;tvSeries;Gravity Falls;8.9;95390;Action,Adventure,Animation
tt1910272;2011;tvSeries;"Steins;Gate";8.8;56969;Animation,Comedy,Drama
tt2085059;2011;tvSeries;Black Mirror;8.8;509896;Drama,Mystery,Sci-Fi
tt1606375;2010;tvSeries;Downton Abbey;8.8;194906;Drama,Romance
tt0988824;2007;tvSeries;Naruto: Shippûden;8.8;113147;Action,Adventure,Animation
