title_Id;start_Year;title_Type;original_Title;average_Rating;num_Votes;Geners
tt0111161;1994;movie;The Shawshank Redemption;9.3;2565428;Drama
tt0108052;1993;movie;Schindler's List;9;1307474;Biography,Drama,History
tt0110912;1994;movie;Pulp Fiction;8.9;1969649;Crime,Drama
tt0137523;1999;movie;Fight Club;8.8;2018650;Drama
tt0109830;1994;movie;Forrest Gump;8.8;1978873;Drama,Romance
tt0133093;1999;movie;The Matrix;8.7;1847038;Action,Sci-Fi
tt0099685;1990;movie;Goodfellas;8.7;1107187;Biography,Crime,Drama
tt0118799;1997;movie;La vita è bella;8.6;672276;Comedy,Drama,Romance
tt0120689;1999;movie;The Green Mile;8.6;1247364;Crime,Drama,Fantasy
tt0120815;1998;movie;Saving Private Ryan;8.6;1336615;Drama,War
tt0103064;1991;movie;Terminator 2: Judgment Day;8.6;1061695;Action,Sci-Fi
tt0102926;1991;movie;The Silence of the Lambs;8.6;1375753;Crime,Drama,Thriller
tt0110413;1994;movie;Léon;8.6;1118630;Action,Crime,Drama
tt0114369;1995;movie;Se7en;8.6;1572988;Crime,Drama,Mystery
tt0114814;1995;movie;The Usual Suspects;8.5;1055173;Crime,Drama,Mystery
tt0110357;1994;movie;The Lion King;8.5;1016443;Adventure,Animation,Drama
tt0120586;1998;movie;American History X;8.5;1090999;Drama
tt0172495;2000;movie;Gladiator;8.5;1443918;Action,Adventure,Drama
tt0209144;2000;movie;Memento;8.5;1200383;Mystery,Thriller
tt0169547;1999;movie;American Beauty;8.4;1126895;Drama
tt0119698;1997;movie;Mononoke-hime;8.4;378758;Action,Adventure,Animation
tt0112573;1995;movie;Braveheart;8.4;1011664;Biography,Drama,History
tt0114709;1995;movie;Toy Story;8.3;956502;Adventure,Animation,Comedy
tt0113277;1995;movie;Heat;8.3;629219;Action,Crime,Drama
tt0105236;1992;movie;Reservoir Dogs;8.3;984405;Crime,Drama,Thriller
tt0468569;2008;movie;The Dark Knight;9.1;2528373;Action,Crime,Drama
tt0167260;2003;movie;The Lord of the Rings: The Return of the King;9;1765391;Action,Adventure,Drama
tt0120737;2001;movie;The Lord of the Rings: The Fellowship of the Ring;8.9;1787139;Action,Adventure,Drama
tt1375666;2010;movie;Inception;8.8;2251650;Action,Adventure,Sci-Fi
tt0167261;2002;movie;The Lord of the Rings: The Two Towers;8.8;1594912;Action,Adventure,Drama
tt0245429;2001;movie;Sen to Chihiro no kamikakushi;8.6;724739;Adventure,Animation,Family
tt0253474;2002;movie;The Pianist;8.6;799265;Biography,Drama,Music
tt0317248;2002;movie;Cidade de Deus;8.6;737630;Crime,Drama
tt0172495;2000;movie;Gladiator;8.5;1443918;Action,Adventure,Drama
tt0209144;2000;movie;Memento;8.5;1200383;Mystery,Thriller
tt0407887;2006;movie;The Departed;8.5;1277406;Crime,Drama,Thriller
tt0482571;2006;movie;The Prestige;8.5;1285228;Drama,Mystery,Thriller
tt1424432;2010;movie;Senna;8.5;69379;Biography,Documentary,Sport
tt1187043;2009;movie;3 Idiots;8.5;382432;Comedy,Drama
tt1675434;2011;movie;Intouchables;8.5;825307;Biography,Comedy,Drama
tt0986264;2007;movie;Taare Zameen Par;8.4;187156;Drama,Family
tt0910970;2008;movie;WALL·E;8.4;1076115;Adventure,Animation,Family
tt0405094;2006;movie;Das Leben der Anderen;8.4;381328;Drama,Mystery,Thriller
tt0364569;2003;movie;Oldeuboi;8.4;558068;Action,Drama,Mystery
tt0367110;2004;movie;Swades: We, the People;8.3;88834;Drama,Musical
tt0372784;2005;movie;Batman Begins;8.3;1412932;Action,Crime,Drama
tt0361748;2009;movie;Inglourious Basterds;8.3;1382973;Adventure,Drama,War
tt0338013;2004;movie;Eternal Sunshine of the Spotless Mind;8.3;974401;Drama,Romance,Sci-Fi
tt0180093;2000;movie;Requiem for a Dream;8.3;815844;Drama
tt0208092;2000;movie;Snatch;8.3;832017;Comedy,Crime
